GAA,,Guamal Airport,"Guamal, Colombia",UTC−05:00,
GAB,KGAB,Gabbs Airport,"Gabbs, Nevada, United States",UTC−08:00,Mar-Nov
GAC,MHGS[1],Gracias Airport,"Gracias, Honduras",UTC−06:00,
GAD,KGAD,Northeast Alabama Regional Airport,"Gadsden, Alabama, United States",UTC−06:00,Mar-Nov
GAE,DTTG,Gabès – Matmata International Airport,"Gabès, Tunisia",UTC+01:00,
GAF,DTTF,Gafsa – Ksar International Airport,"Gafsa, Tunisia",UTC+01:00,
GAG,KGAG,Gage Airport,"Gage, Oklahoma, United States",UTC−06:00,Mar-Nov
GAH,YGAY,Gayndah Airport,"Gayndah, Queensland, Australia",UTC+10:00,
GAI,KGAI,Montgomery County Airpark,"Gaithersburg, Maryland, United States",UTC−05:00,Mar-Nov
GAJ,RJSC,Yamagata Airport (Junmachi Airport),"Yamagata, Honshu, Japan",UTC+09:00,
GAL,PAGA,Edward G. Pitka Sr. Airport,"Galena, Alaska, United States",UTC−09:00,Mar-Nov
GAM,PAGM,Gambell Airport,"Gambell, Alaska, United States",UTC−09:00,Mar-Nov
GAN,VRMG,Gan International Airport,"Gan Island, Addu Atoll, Maldives",UTC+05:00,
GAO,MUGT,Mariana Grajales Airport,"Guantánamo, Cuba",UTC−05:00,Mar-Nov
GAP,AYGP,Gusap Airport,"Gusap, Papua New Guinea",UTC+10:00,
GAQ,GAGO,Gao International Airport (Korogoussou Airport),"Gao, Mali",UTC±00:00,
GAR,AYGI,Garaina Airport,"Garaina, Papua New Guinea",UTC+10:00,
GAS,HKGA,Garissa Airport,"Garissa, Kenya",UTC+03:00,
GAT,LFNA,Gap–Tallard Airport,"Gap, Provence-Alpes-Côte d'Azur, France",UTC+01:00,Mar-Oct
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport,"Guwahati, Assam, India",UTC+05:30,
GAV,,Gag Island Airport,"Gag Island, Indonesia",UTC+09:00,
GAW,VYGG,Gangaw Airport,"Gangaw, Myanmar",UTC+06:30,
GAX,,Gamba Airport,"Gamba, Gabon",UTC+01:00,
GAY,VEGY,Gaya Airport (Bodhgaya Airport),"Gaya, Bihar, India",UTC+05:30,
GAZ,,Guasopa Airport,"Guasopa, Papua New Guinea",UTC+10:00,
GBA,EGBP,Cotswold Airport[2],"Kemble, England, United Kingdom",UTC±00:00,Mar-Oct
GBB,UBBQ,Qabala International Airport,"Qabala, Azerbaijan",UTC+04:00,
GBC,AYGS,Gasuke Airport,"Gasuke, Papua New Guinea",UTC+10:00,
GBD,KGBD,Great Bend Municipal Airport,"Great Bend, Kansas, United States",UTC−06:00,Mar-Nov
GBE,FBSK,Sir Seretse Khama International Airport,"Gaborone, Botswana",UTC+02:00,
GBF,AYNE,Negarbo Airport,"Negarbo, Papua New Guinea",UTC+10:00,
GBG,KGBG,Galesburg Municipal Airport,"Galesburg, Illinois, United States",UTC−06:00,Mar-Nov
GBH,PAGB,Galbraith Lake Airport,"Galbraith Lake, Alaska, United States",UTC−09:00,Mar-Nov
GBI,,Kalaburagi Airport,"Gulbarga, Karnataka, India",UTC+05:30,
GBJ,TFFM,Marie-Galante Airport (Les Bases),"Grand-Bourg, Marie-Galante Island, Guadeloupe",UTC−04:00,
GBK,GFGK,Gbangbatok Airport,"Gbangbatok, Sierra Leone",UTC±00:00,
GBL,YGBI,South Goulburn Island Airport,"Goulburn Islands, Northern Territory, Australia",UTC+09:30,
GBM,,Garbaharey Airport,"Garbaharey, Somalia",UTC+03:00,
GBP,YGAM,Gamboola Airport,"Gamboola, Queensland, Australia",UTC+10:00,
GBR,KGBR,Walter J. Koladza Airport,"Great Barrington, Massachusetts, United States",UTC−05:00,Mar-Nov
GBT,OING,Gorgan Airport[2],"Gorgan, Iran",UTC+03:30,Mar-Sep
GBU,HSKG,Khashm el Girba Airport,"Khashm el Girba, Sudan",UTC+03:00,
GBV,YGIB,Gibb River Airport,"Gibb River, Western Australia, Australia",UTC+08:00,
GBW,YGIA,Ginbata Airport[2],"Ginbata, Western Australia, Australia",UTC+08:00,
GBZ,NZGB,Great Barrier Aerodrome,"Great Barrier Island, New Zealand",UTC+12:00,Sep-Apr
GCA,,Guacamayas Airport,"Guacamayas, Colombia",UTC−05:00,
GCC,KGCC,Gillette–Campbell County Airport,"Gillette, Wyoming, United States",UTC−07:00,Mar-Nov
GCD,,Grand Coulee Dam Airport[2] (FAA: 3W7),"Electric City, Washington, United States",UTC−08:00,Mar-Nov
GCH,OIAH,Gachsaran Airport[2],"Gachsaran, Iran",UTC+03:30,Mar-Sep
GCI,EGJB,Guernsey Airport,"The Forest, Guernsey, Channel Islands",UTC±00:00,Mar-Oct
GCJ,FAGC,Grand Central Airport,"Johannesburg, South Africa",UTC+02:00,
GCK,KGCK,Garden City Regional Airport,"Garden City, Kansas, United States",UTC−06:00,Mar-Nov
GCM,MWCR,Owen Roberts International Airport,"Grand Cayman, British Overseas Territory of Cayman Islands",UTC−05:00,
GCN,KGCN,Grand Canyon National Park Airport,"Tusayan, Arizona, United States",UTC−07:00,
GCT,,Grand Canyon Bar 10 Airport,"Whitmore, Arizona, United States",UTC−07:00,
GCW,,Grand Canyon West Airport[2] (FAA: 1G4),"Peach Springs, Arizona, United States",UTC−07:00,
GCY,KGCY,Greeneville–Greene County Municipal Airport,"Greeneville, Tennessee, United States",UTC−05:00,Mar-Nov
GDA,,Gounda Airport,"Gounda, Central African Republic",UTC+01:00,
GDC,KGYH,Donaldson Center Airport (FAA: GYH),"Greenville, South Carolina, United States",UTC−05:00,Mar-Nov
GDD,YGDN,Gordon Downs Airport,"Gordon Downs, Western Australia, Australia",UTC+08:00,
GDE,HAGO,Gode Airport,"Gode, Ethiopia",UTC+03:00,
GDG,UHBI,Magdagachi Airport,"Magdagachi, Amur Oblast, Russia",UTC+09:00,
GDH,,Golden Horn Lodge Seaplane Base (FAA: 3Z8),"Golden Horn Lodge, Alaska, United States",UTC−09:00,Mar-Nov
GDI,,Gordil Airport,"Gordil, Central African Republic",UTC+01:00,
GDJ,FZWC,Gandajika Airport,"Gandajika, Democratic Republic of the Congo",UTC+02:00,
GDL,MMGL,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l),"Guadalajara, Jalisco, Mexico",UTC−06:00,Apr-Oct
GDM,KGDM,Gardner Municipal Airport,"Gardner, Massachusetts, United States",UTC−05:00,Mar-Nov
GDN,EPGD,Gdańsk Lech Wałęsa Airport,"Gdańsk, Poland",UTC+01:00,Mar-Oct
GDO,SVGD,Guasdualito Airport (Vare Maria Airport),"Guasdualito, Venezuela",UTC−04:00,
GDP,SNGD,Guadalupe Airport,"Guadalupe, Piauí, Brazil",UTC−03:00,
GDQ,HAGN,Gondar Airport (Atse Tewodros Airport),"Gondar, Ethiopia",UTC+03:00,
GDT,MBGT,JAGS McCartney International Airport (Grand Turk Int'l),"Grand Turk Island, British Overseas Territory
of Turks and Caicos Islands",UTC−04:00,
GDV,KGDV,Dawson Community Airport,"Glendive, Montana, United States",UTC−07:00,Mar-Nov
GDW,KGDW,Gladwin Zettel Memorial Airport,"Gladwin, Michigan, United States",UTC−05:00,Mar-Nov
GDX,UHMM,Sokol Airport,"Magadan, Magadan Oblast, Russia",UTC+11:00,
GDZ,URKG,Gelendzhik Airport,"Gelendzhik, Krasnodar Krai, Russia",UTC+03:00,
GEA,NWWM,Nouméa Magenta Airport,"Nouméa, New Caledonia",UTC+11:00,
GEB,WAMJ,Gebe Airport,"Gebe, Indonesia",UTC+09:00,
GEC,,Geçitkale Air Base,"Geçitkale, Northern Cyprus",UTC+03:00,
GED,KGED,Delaware Coastal Airport,"Georgetown, Delaware, United States",UTC−05:00,Mar-Nov
GEE,YGTO,George Town Aerodrome,"George Town, Tasmania, Australia",UTC+10:00,Oct-Apr
GEF,AGEV,Geva Airport,"Liangai, Vella Lavella, Solomon Islands",UTC+11:00,
GEG,KGEG,Spokane International Airport,"Spokane, Washington, United States",UTC−08:00,Mar-Nov
GEL,SBNM,Sepé Tiaraju Airport,"Santo Ângelo, Rio Grande do Sul, Brazil",UTC−03:00,
GEM,FGMY,President Obiang Nguema International Airport[2],"Mengomeyén, Equatorial Guinea",UTC+01:00,
GEO,SYCJ,Cheddi Jagan International Airport,"Georgetown, Guyana",UTC−04:00,
GER,MUNG,Rafael Cabrera Mustelier Airport,"Nueva Gerona, Cuba",UTC−05:00,Mar-Nov
GES,RPMR,General Santos International Airport (Tambler Airport),"General Santos, Philippines",UTC+08:00,
GET,YGEL,Geraldton Airport,"Geraldton, Western Australia, Australia",UTC+08:00,
GEV,ESNG,Gällivare Airport,"Gällivare, Sweden",UTC+01:00,Mar-Oct
GEW,AYGC,Gewoia Airport,"Gewoia, Papua New Guinea",UTC+10:00,
GEX,YGLG,Geelong Airport,"Geelong, Victoria, Australia",UTC+10:00,Oct-Apr
GEY,KGEY,South Big Horn County Airport,"Greybull, Wyoming, United States",UTC−07:00,Mar-Nov
GFD,KGFD,Pope Field,"Greenfield, Indiana, United States",UTC−05:00,Mar-Nov
GFE,,Grenfell Airport[2],"Grenfell, New South Wales, Australia",UTC+10:00,Oct-Apr
GFF,YGTH,Griffith Airport,"Griffith, New South Wales, Australia",UTC+10:00,Oct-Apr
GFK,KGFK,Grand Forks International Airport,"Grand Forks, North Dakota, United States",UTC−06:00,Mar-Nov
GFL,KGFL,Floyd Bennett Memorial Airport,"Glens Falls, New York, United States",UTC−05:00,Mar-Nov
GFN,YGFN,Clarence Valley Regional Airport,"Grafton, New South Wales, Australia",UTC+10:00,Oct-Apr
GFO,SYBT,Bartica Airport,"Bartica, Guyana",UTC−04:00,
GFR,LFRF,Granville–Mont-Saint-Michel Aerodrome [fr],"Granville, Lower Normandy, France",UTC+01:00,Mar-Oct
GFY,FYGF,Grootfontein Air Base,"Grootfontein, Namibia",UTC+01:00,Sep-Apr
GGB,SWHP,Água Boa Airport,"Água Boa, Mato Grosso, Brazil",UTC−03:00,
GGC,,Lumbala N'guimbo Airport,"Lumbala N'guimbo, Angola",UTC+01:00,
GGD,YGDS,Gregory Downs Airport,"Gregory Downs, Queensland, Australia",UTC+10:00,
GGE,KGGE,Georgetown County Airport,"Georgetown, South Carolina, United States",UTC−05:00,Mar-Nov
GGF,SNYA,Almeirim Airport,"Almeirim, Pará, Brazil",UTC−03:00,
GGG,KGGG,East Texas Regional Airport,"Longview, Texas, United States",UTC−06:00,Mar-Nov
GGH,SSCT,Gastão Mesquita Airport,"Cianorte, Paraná, Brazil",UTC−03:00,
GGJ,SSGY,Guaíra Airport,"Guaíra, Paraná, Brazil",UTC−03:00,
GGL,,Gilgal Airport[2],"Gilgal, Colombia",UTC−05:00,
GGM,HKKG,Kakamega Airport[2],"Kakamega, Kenya",UTC+03:00,
GGN,DIGA,Gagnoa Airport,"Gagnoa, Ivory Coast",UTC±00:00,
GGO,DIGL,Guiglo Airport,"Guiglo, Ivory Coast",UTC±00:00,
GGR,,Garowe International Airport,"Garowe, Somalia",UTC+03:00,
GGS,SAWR,Gobernador Gregores Airport,"Gobernador Gregores, Santa Cruz, Argentina",UTC−03:00,
GGT,MYEF,Exuma International Airport,"Moss Town, Great Exuma Island, Bahamas",UTC−05:00,Mar-Nov
GGW,KGGW,Glasgow Airport (Wokal Field),"Glasgow, Montana, United States",UTC−07:00,Mar-Nov
GHA,DAUG,Noumérat – Moufdi Zakaria Airport,"Ghardaïa, Algeria",UTC+01:00,
GHB,MYEM,Governor's Harbour Airport,"Governor's Harbour, Eleuthera Island, Bahamas",UTC−05:00,Mar-Nov
GHC,MYBG,Great Harbour Cay Airport,"Great Harbour Cay, Berry Islands, Bahamas",UTC−05:00,Mar-Nov
GHE,,Garachiné Airport,"Garachiné, Panama",UTC−05:00,
GHF,ETEU,Giebelstadt Airport,"Giebelstadt, Bavaria, Germany",UTC+01:00,Mar-Oct
GHK,,Gahcho Kue Aerodrome[2] (TC: CGK2),"Kennedy Lake, Northwest Territories, Canada",UTC−07:00,Mar-Nov
GHM,KGHM,Centerville Municipal Airport,"Centerville, Tennessee, United States",UTC−06:00,Mar-Nov
GHN,ZUGH,Guanghan Airport,"Guanghan, Sichuan, China",UTC+08:00,
GHS,WALE,West Kutai Melalan Airport,"Melak, East Kalimantan, Indonesia",UTC+09:00,
GHT,HLGT,Ghat Airport,"Ghat, Libya",UTC+02:00,
GHU,SAAG,Gualeguaychú Airport,"Gualeguaychú, Entre Ríos, Argentina",UTC−03:00,
GHV,LRBV,Brașov-Ghimbav International Airport,"Brașov, Romania",UTC+02:00,Mar-Oct
GIB,LXGB,Gibraltar International Airport (North Front Airport),British Overseas Territory of Gibraltar,UTC+01:00,Mar-Oct
GIC,YBOI,Boigu Island Airport,"Boigu Island, Queensland, Australia",UTC+10:00,
GID,HBBE,Gitega Airport,"Gitega, Burundi",UTC+02:00,
GIF,KGIF,Winter Haven's Gilbert Airport,"Winter Haven, Florida, United States",UTC−05:00,Mar-Nov
GIG,SBGL,Rio de Janeiro–Galeão International Airport,"Rio de Janeiro, Brazil",UTC−03:00,
GII,GUSI,Siguiri Airport,"Siguiri, Guinea",UTC±00:00,
GIL,OPGT,Gilgit Airport,"Gilgit, Pakistan",UTC+05:00,
GIM,,Miele Mimbale Airport,"Miele Mimbale, Gabon",UTC+01:00,
GIR,SKGI,Santiago Vila Airport,"Girardot, Colombia",UTC−05:00,
GIS,NZGS,Gisborne Airport,"Gisborne, New Zealand",UTC+12:00,Sep-Apr
GIT,,Geita Airport,"Geita, Tanzania",UTC+03:00,
GIU,VCCS,Sigiriya Airport[2],"Dambulla, Sri Lanka",UTC+05:30,
GIY,FAGI,Giyani Airport,"Giyani, South Africa",UTC+02:00,
GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),"Jizan, Saudi Arabia",UTC+03:00,
GJA,MHNJ,Guanaja Airport,"Guanaja, Honduras",UTC−06:00,
GJL,DAAV,Jijel Ferhat Abbas Airport,"Jijel, Algeria",UTC+01:00,
GJM,SBGM,Guajará-Mirim Airport,"Guajará-Mirim, Rondônia, Brazil",UTC−04:00,
GJR,BIGJ,Gjögur Airport,"Gjögur, Iceland",UTC±00:00,
GJT,KGJT,Grand Junction Regional Airport (Walker Field),"Grand Junction, Colorado, United States",UTC−07:00,Mar-Nov
GKA,AYGA,Goroka Airport,"Goroka, Papua New Guinea",UTC+10:00,
GKD,LTFK,Gökçeada Airport,"Gökçeada, Turkey",UTC+03:00,
GKE,ETNG,NATO Air Base Geilenkirchen,"Geilenkirchen, North Rhine-Westphalia, Germany",UTC+01:00,Mar-Oct
GKH,VNGK,Palungtar Airport,"Gorkha, Nepal",UTC+05:45,
GKK,VRMO,Kooddoo Airport[2],"Kooddoo, Gaafu Alif Atoll, Maldives",UTC+05:00,
GKL,YGKL,Great Keppel Island Airport,"Great Keppel Island, Queensland, Australia",UTC+10:00,
GKN,PAGK,Gulkana Airport,"Gulkana, Alaska, United States",UTC−09:00,Mar-Nov
GKO,,Kongo Boumba Airport,"Kongo Boumba, Gabon",UTC+01:00,
GKT,KGKT,Gatlinburg–Pigeon Forge Airport,"Sevierville, Tennessee, United States",UTC−05:00,Mar-Nov
GLA,EGPF,Glasgow Airport,"Glasgow, Scotland, United Kingdom",UTC±00:00,Mar-Oct
GLB,,San Carlos Apache Airport[2] (FAA: P13),"Globe, Arizona, United States",UTC−07:00,
GLC,,Geladi Airport,"Geladi, Ethiopia",UTC+03:00,
GLD,KGLD,Goodland Municipal Airport (Renner Field),"Goodland, Kansas, United States",UTC−07:00,Mar-Nov
GLE,KGLE,Gainesville Municipal Airport,"Gainesville, Texas, United States",UTC−06:00,Mar-Nov
GLF,MRGF,Golfito Airport,"Golfito, Costa Rica",UTC−06:00,
GLG,YGLE,Glengyle Airport,"Glengyle, Queensland, Australia",UTC+10:00,
GLH,KGLH,Mid-Delta Regional Airport,"Greenville, Mississippi, United States",UTC−06:00,Mar-Nov
GLI,YGLI,Glen Innes Airport,"Glen Innes, New South Wales, Australia",UTC+10:00,Oct-Apr
GLK,HCMR,Abdullahi Yusuf International Airport,"Galkayo, Somalia",UTC+03:00,
GLL,ENKL,"Gol Airport, Klanten","Gol, Norway",UTC+01:00,Mar-Oct
GLM,YGLO,Glenormiston Airport,"Glenormiston, Queensland, Australia",UTC+10:00,
GLN,,Guelmim Airport,"Guelmim, Morocco",UTC±00:00,Mar-Oct1
GLO,EGBJ,Gloucestershire Airport,"Gloucester / Cheltenham, England, United Kingdom",UTC±00:00,Mar-Oct
GLP,AYUP,Gulgubip Airport,"Gulgubip, Papua New Guinea",UTC+10:00,
GLR,KGLR,Gaylord Regional Airport,"Gaylord, Michigan, United States",UTC−05:00,Mar-Nov
GLS,KGLS,Scholes International Airport at Galveston,"Galveston, Texas, United States",UTC−06:00,Mar-Nov
GLT,YGLA,Gladstone Airport,"Gladstone, Queensland, Australia",UTC+10:00,
GLU,VQGP,Gelephu Airport[2],"Gelephu, Bhutan",UTC+06:00,
GLV,PAGL,Golovin Airport,"Golovin, Alaska, United States",UTC−09:00,Mar-Nov
GLW,KGLW,Glasgow Municipal Airport,"Glasgow, Kentucky, United States",UTC−06:00,Mar-Nov
GLX,WAMA,Gamar Malamo Airport,"Galela, Indonesia",UTC+09:00,
GLY,,Goldsworthy Airport,"Goldsworthy, Western Australia, Australia",UTC+08:00,
GLZ,EHGR,Gilze-Rijen Air Base,"Breda, Netherlands",UTC+01:00,Mar-Oct
GMA,FZFK,Gemena Airport,"Gemena, Democratic Republic of the Congo",UTC+01:00,
GMB,HAGM,Gambela Airport,"Gambela, Ethiopia",UTC+03:00,
GMC,,Guerima Airport,"Guerima, Colombia",UTC−05:00,
GMD,GMMB,Ben Slimane Airport[2],"Ben Slimane, Morocco",UTC±00:00,Mar-Oct1
GME,UMGG,Gomel Airport,"Gomel, Belarus",UTC+03:00,
