QAH,VIDX,Hindon Airport,"Delhi, India"
QAQ,LIAP,L'Aquila–Preturo Airport[1],"L'Aquila, Abruzzo, Italy"
QBC,CYBD,Bella Coola Airport,"British Columbia, Canada"
QCY,EGXC,RAF Coningsby,"Coningsby, England, United Kingdom"
QHU,EDXJ,Husum Schwesing Airport[1],"Husum, Schleswig-Holstein, Germany"
QLR,LPMR,Monte Real Air Base,"Monte Real, Portugal"
QOW,DNIM,Sam Mbakwe Airport,"Owerri, Nigeria"
QPG,WSAP,Paya Lebar Air Base,Singapore
QRA,FAGM,Rand Airport,"Johannesburg, South Africa"
QRC,SCRG,Rancagua de la Independencia Airport,"Rancagua, Chile"
QRO,MMQT,Querétaro Intercontinental Airport,"Querétaro City, Querétaro, Mexico"
QRW,DNSU,Warri Airport (Osubi Airport),"Warri, Nigeria"
QSC,SDSC,Mário Pereira Lopes Airport,"São Carlos, São Paulo, Brazil"
QSF,DAAS,Ain Arnat Airport,"Sétif, Algeria"
QSR,LIRI,Salerno Costa d'Amalfi Airport (Pontecagnano Airport),"Salerno, Campania, Italy"
QSZ,ZWSC,Shache Airport,"Shache, Xinjiang, China"
QUB,HLUB,Ubari Airport[1],"Ubari, Libya"
QUG,EGHR,Chichester/Goodwood Airport,"Chichester, England, United Kingdom"
QUO,DNAI,Akwa Ibom International Airport,"Uyo, Nigeria"
QUY,EGUY,RAF Wyton[1],"Wyton, England, United Kingdom"
QWG,,Wilgrove Air Park (FAA: 8A6) (closed June 2020),"Charlotte, North Carolina, United States"
QXB,LFMA,Aix-en-Provence Aerodrome,"Aix-en-Provence, France"