,,,
SAA,KSAA,Shively Field,"Saratoga, Wyoming, United States"
SAB,TNCS,Juancho E. Yrausquin Airport,"Saba, Caribbean Netherlands"
SAC,KSAC,Sacramento Executive Airport,"Sacramento, California, United States"
SAD,KSAD,Safford Regional Airport,"Safford, Arizona, United States"
SAF,KSAF,Santa Fe Municipal Airport,"Santa Fe, New Mexico, United States"
SAG,,Shirdi Airport,"Shirdi, Maharashtra, India"
SAH,OYSN,Sana'a International Airport (El Rahaba Airport),"Sana'a, Yemen"
SAK,BIKR,Sauðárkrókur Airport,"Sauðárkrókur, Iceland"
SAL,MSLP,Monseñor Óscar Arnulfo Romero International Airport,"San Salvador, El Salvador"
SAM,,Salamo Airport[1],"Salamo, Papua New Guinea"
SAN,KSAN,San Diego International Airport,"San Diego, California, United States"
SAO[1],,metropolitan area1,"São Paulo, São Paulo, Brazil"
SAP,MHLM,Ramón Villeda Morales International Airport,"San Pedro Sula, Honduras"
SAQ,MYAN,San Andros Airport[1],"Nicholls Town, Andros Island, Bahamas"
SAR,KSAR,Sparta Community Airport (Hunter Field),"Sparta, Illinois, United States"
SAS,KSAS,Salton Sea Airport,"Salton City, California, United States"
SAT,KSAT,San Antonio International Airport,"San Antonio, Texas, United States"
SAU,WATS,Tardamu Airport,"Savu (Sawu), Indonesia"
SAV,KSAV,Savannah/Hilton Head International Airport,"Savannah, Georgia, United States"
SAW,LTFJ,Sabiha Gökçen International Airport,"Istanbul, Turkey"
SAX,,Sambú Airport[1],"Sambú, Panama"
SAY,LIQS,Siena–Ampugnano Airport,"Siena, Tuscany, Italy"
SAZ,GLST,Sasstown Airport,"Sasstown, Liberia"
SBA,KSBA,Santa Barbara Municipal Airport,"Santa Barbara, California, United States"
SBB,SVSB,Santa Bárbara de Barinas Airport[1],"Santa Bárbara, Venezuela"
SBC,AYSO,Selbang Airport[1],"Selbang, Papua New Guinea"
SBD,KSBD,San Bernardino International Airport,"San Bernardino, California, United States"
SBE,AYSA,Suabi Airport[1],"Suabi, Papua New Guinea"
SBF,OADS,Sardeh Band Airport,"Band-e Sardeh Dam, Afghanistan"
SBG,WITN,Maimun Saleh Airport[1],"Sabang, Indonesia"
SBH,TFFJ,Gustaf III Airport,"Gustavia, Saint Barthélemy"
SBI,GUSB,Sambailo Airport,"Koundara, Guinea"
SBJ,SNMX,São Mateus Airport[1],"São Mateus, Espírito Santo, Brazil"
SBK,LFRT,Saint-Brieuc – Armor Airport,"Saint-Brieuc, Brittany, France"
SBL,SLSA,Santa Ana del Yacuma Airport,"Santa Ana del Yacuma, Bolivia"
SBM,KSBM,Sheboygan County Memorial Airport,"Sheboygan, Wisconsin, United States"
SBN,KSBN,South Bend International Airport,"South Bend, Indiana, United States"
SBO,,Salina-Gunnison Airport[1] (FAA: 44U),"Salina / Gunnison, Utah, United States"
SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),"San Luis Obispo, California, United States"
SBQ,OPSB,Sibi Airport[1],"Sibi, Pakistan"
SBR,YSII,Saibai Island Airport[1],"Saibai Island, Queensland, Australia"
SBS,KSBS,Steamboat Springs Airport (Bob Adams Field),"Steamboat Springs, Colorado, United States"
SBT,USDA,Sabetta International Airport[1],"Sabetta, Yamalo-Nenets Autonomous Okrug, Russia"
SBU,FASB,Springbok Airport,"Springbok, South Africa"
SBV,AYSH,Sabah Airport[1],"Sabah, Papua New Guinea"
SBW,WBGS,Sibu Airport,"Sibu, Sarawak, Malaysia"
SBX,KSBX,Shelby Airport,"Shelby, Montana, United States"
SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport,"Salisbury / Ocean City, Maryland, United States"
SBZ,LRSB,Sibiu International Airport,"Sibiu, Romania"
SCA,,Santa Catalina Airport[1],"Santa Catalina, Colombia"
SCB,KSCB,Scribner State Airport,"Scribner, Nebraska, United States"
SCC,PASC,Deadhorse Airport,"Prudhoe Bay / Deadhorse, Alaska, United States"
SCD,MHUL,Sulaco Airport,"Sulaco, Honduras"
SCE,KUNV,University Park Airport (FAA: UNV),"State College, Pennsylvania, United States"
SCF,KSDL,Scottsdale Airport (FAA: SDL),"Phoenix / Scottsdale, Arizona, United States"
SCG,YSPK,Spring Creek Airport[1],"Conjuboy, Queensland, Australia"
SCH,KSCH,Schenectady County Airport,"Schenectady, New York, United States"
SCI,SVPM,Paramillo Airport[1],"San Cristóbal, Venezuela"
SCK,KSCK,Stockton Metropolitan Airport,"Stockton, California, United States"
SCL,SCEL,Arturo Merino Benítez International Airport,"Santiago, Chile"
SCM,PACM,Scammon Bay Airport,"Scammon Bay, Alaska, United States"
SCN,EDDR,Saarbrücken Airport,"Saarbrücken, Saarland, Germany"
SCO,UATE,Aktau Airport,"Aktau, Kazakhstan"
SCP,LFNC,Mont-Dauphin - Saint-Crépin Airport[1],"Mont-Dauphin, Provence-Alpes-Côte d'Azur, France"
SCQ,LEST,Santiago de Compostela Airport,"Santiago de Compostela, Galicia, Spain"
SCR,,Scandinavian Mountains Airport,"Malung-Sälen, Sweden"
SCS,EGPM,Scatsta Airport,"Shetland Islands, Scotland, United Kingdom"
SCT,OYSQ,Socotra Airport[1],"Socotra, Yemen"
SCU,MUCU,Antonio Maceo International Airport,"Santiago de Cuba, Cuba"
SCV,LRSV,Suceava International Airport (Ștefan cel Mare Int'l),"Suceava, Romania"
SCW,UUYY,Syktyvkar Airport,"Syktyvkar, Komi Republic, Russia"
SCX,MMSZ,Salina Cruz Airport,"Salina Cruz, Oaxaca, Mexico"
SCY,SEST,San Cristóbal Airport,"San Cristóbal Island, Galápagos Islands, Ecuador"
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport[1],"Santa Cruz Islands, Solomon Islands"
SDB,FALW,Air Force Base Langebaanweg[1],"Saldanha Bay, South Africa"
SDC,,Sand Creek Airport,"Sand Creek Village, Guyana"
SDD,FNUB,Lubango Mukanka Airport,"Lubango, Angola"
SDE,SANE,Vicecomodoro Ángel de la Paz Aragonés Airport,"Santiago del Estero, Santiago del Estero, Argentina"
SDF,KSDF,Louisville International Airport (Standiford Field),"Louisville, Kentucky, United States"
SDG,OICS,Sanandaj Airport[1],"Sanandaj, Iran"
SDH,MHSR,Santa Rosa de Copán Airport[1],"Santa Rosa de Copán, Honduras"
SDI,AYSD,Saidor Airport[1],"Saidor, Papua New Guinea"
SDJ,RJSS,Sendai Airport,"Sendai, Honshu, Japan"
SDK,WBKS,Sandakan Airport,"Sandakan, Sabah, Malaysia"
SDL,ESNN,Sundsvall-Timrå Airport (Midlanda Airport),"Sundsvall / Härnösand, Sweden"
SDM,KSDM,Brown Field Municipal Airport,"San Diego, California, United States"
SDN,ENSD,"Sandane Airport, Anda","Sandane, Norway"
SDP,PASD,Sand Point Airport,"Sand Point, Alaska, United States"
SDQ,MDSD,Las Américas International Airport,"Santo Domingo, Dominican Republic"
SDR,LEXJ,Santander Airport,"Santander, Cantabria, Spain"
SDS,RJSD,Sado Airport[1],"Sado, Niigata, Japan"
SDT,OPSS,Saidu Sharif Airport[1],"Saidu Sharif, Pakistan"
SDU,SBRJ,Santos Dumont Airport,"Rio de Janeiro, Rio de Janeiro, Brazil"
SDV,LLSD,Sde Dov Airport,"Tel Aviv, Israel"
SDX,KSEZ,Sedona Airport (FAA: SEZ),"Sedona, Arizona, United States"
SDY,KSDY,Sidney–Richland Municipal Airport,"Sidney, Montana, United States"
SDZ[1],,metropolitan area2,"Shetland Islands, Scotland, United Kingdom"
SEA,KSEA,Seattle–Tacoma International Airport,"Seattle, Washington, United States"
SEB,HLLS,Sabha Airport[1],"Sabha (Sebha), Libya"
SED,,Sdom Airfield[1] (Hashnayim Airfield),"Neve Zohar (Sedom), Israel"
SEE,KSEE,Gillespie Field,"San Diego, California, United States"
SEF,KSEF,Sebring Regional Airport,"Sebring, Florida, United States"
SEG,KSEG,Penn Valley Airport,"Selinsgrove, Pennsylvania, United States"
SEH,WAJS,Senggeh Airport,"Senggeh, Indonesia"
SEK,UESK,Srednekolymsk Airport,"Srednekolymsk, Yakutia, Russia"
SEL[1],,metropolitan area3,"Seoul, South Korea"
SEM,KSEM,Craig Field,"Selma, Alabama, United States"
SEN,EGMC,London Southend Airport,"London / Southend, England, United Kingdom"
SEO,DISG,Séguéla Airport[1],"Séguéla, Ivory Coast"
SEP,KSEP,Stephenville Clark Regional Airport,"Stephenville, Texas, United States"
SEQ,WIBS,Sei Pakning Airport,"Bengkalis, Indonesia"
SER,KSER,Freeman Municipal Airport,"Seymour, Indiana, United States"
SEU,HTSN,Seronera Airstrip[1],"Seronera, Tanzania"
SEV,,Severodonetsk Airport[1],"Severodonetsk, Ukraine"
SEW,,Siwa Oasis North Airport[1],"Siwa Oasis, Egypt"
SEY,GQNS,Sélibaby Airport,"Sélibaby, Mauritania"
SEZ,FSIA,Seychelles International Airport,"Mahé, Seychelles"
SFA,DTTX,Sfax–Thyna International Airport,"Sfax, Tunisia"
SFB,KSFB,Orlando Sanford International Airport,"Orlando, Florida, United States"
SFC,TFFC,Saint-François Airport[1],"Saint-François, Guadeloupe"
SFD,SVSR,Las Flecheras Airport,"San Fernando de Apure, Venezuela"
SFE,RPUS,San Fernando Airport,"San Fernando, Philippines"
SFF,KSFF,Felts Field,"Spokane, Washington, United States"
SFG,TFFG,L'Espérance Airport[1] (Grand Case Airport),"Grand Case, Saint Martin"
SFH,MMSF,San Felipe International Airport,"San Felipe, Baja California, Mexico"
SFI,GMMS,Safi Airport,"Safi, Morocco"
SFJ,BGSF,Kangerlussuaq Airport,"Kangerlussuaq, Greenland"
SFK,SNSW,Soure Airport[1],"Soure, Pará, Brazil"
SFL,GVSF,São Filipe Airport,"São Filipe, Fogo, Cape Verde"
SFM,KSFM,Sanford Seacoast Regional Airport,"Sanford, Maine, United States"
SFN,SAAV,Sauce Viejo Airport[1],"Santa Fe de la Vera Cruz, Santa Fe, Argentina"
SFO,KSFO,San Francisco International Airport,"San Francisco, California, United States"
SFQ,LTCH,Şanlıurfa Airport,"Şanlıurfa, Turkey"
SFS,RPLB,Subic Bay International Airport,"Subic Bay, Philippines"
SFT,ESNS,Skellefteå Airport,"Skellefteå, Sweden"
SFU,,Safia Airport[1],"Safia, Papua New Guinea"
SFV,,Santa Fé do Sul Airport[1],"Santa Fé do Sul, São Paulo, Brazil"
SFX,,Macagua Airport[1],"San Félix, Venezuela"
SFY[1],,metropolitan area4,"Springfield, Massachusetts, United States"
SFZ,KSFZ,North Central State Airport,"Pawtucket, Rhode Island, United States"
SGA,OASN,Sheghnan Airport,"Shighnan, Afghanistan"
SGB,,Singaua Airport[1],"Singaua, Papua New Guinea"
SGC,USRR,Surgut International Airport,"Surgut, Khanty-Mansi Autonomous Okrug, Russia"
SGD,EKSB,Sønderborg Airport,"Sønderborg, Denmark"
SGE,EDGS,Siegerland Airport,"Siegen, North Rhine-Westphalia, Germany"
SGF,KSGF,Springfield–Branson National Airport,"Springfield, Missouri, United States"
SGG,WBGY,Simanggang Airport,"Sri Aman, Malaysia"
SGH,KSGH,Springfield–Beckley Municipal Airport,"Springfield, Ohio, United States"
SGI[1],,metropolitan area1,"Sargodha, Sargodha, Pakistan"
SGJ,,Sagarai Airport[1],"Sagarai, Papua New Guinea"
SGK,AYSK,Sangapi Airport,"Sangapi, Papua New Guinea"
SGL,RPLS,Sangley Point Airport,"Manila, Philippines"
SGM,,San Ignacio Airfield[1],"San Ignacio, Baja California Sur, Mexico"
SGN,VVTS,Tan Son Nhat International Airport,"Ho Chi Minh City, Vietnam"
SGO,YSGE,St George Airport[1],"St George, Queensland, Australia"
SGP,YSHG,Shay Gap Airport[1],"Shay Gap, Western Australia, Australia"
SGQ,WRLA,Sangkimah Airport[1],"Sangatta, Indonesia"
SGR,KSGR,Sugar Land Regional Airport,"Houston / Sugar Land, Texas, United States"
SGT,KSGT,Stuttgart Municipal Airport,"Stuttgart, Arkansas, United States"
SGU,KSGU,St. George Regional Airport,"St. George, Utah, United States"
SGV,SAVS,Sierra Grande Airport[1],"Sierra Grande, Río Negro, Argentina"
SGW,,Saginaw Seaplane Base[1] (FAA: A23),"Saginaw Bay, Alaska, United States"
SGX,HTSO,Songea Airport[1],"Songea, Tanzania"
SGY,PAGY,Skagway Airport,"Skagway, Alaska, United States"
SGZ,VTSH,Songkhla Airport[1],"Songkhla, Thailand"
SHA,ZSSS,Shanghai Hongqiao International Airport,"Shanghai, China"
SHB,RJCN,Nakashibetsu Airport,"Nakashibetsu, Hokkaido, Japan"
SHC,,Shire Airport[1],"Shire (Inda Selassie), Ethiopia"
SHD,KSHD,Shenandoah Valley Regional Airport,"Staunton / Waynesboro / Harrisonburg, Virginia, United States"
SHE,ZYTX,Shenyang Taoxian International Airport,"Shenyang, Liaoning, China"
SHF,ZWHZ,Shihezi Huayuan Airport,"Shihezi, Xinjiang, China"
SHG,PAHG,Shungnak Airport,"Shungnak, Alaska, United States"
SHH,PASH,Shishmaref Airport,"Shishmaref, Alaska, United States"
SHI,RORS,Shimojishima Airport,"Shimoji-shima, Miyako Islands, Japan"
SHJ,OMSJ,Sharjah International Airport,"Sharjah, United Arab Emirates"
SHK,FXSH,Sehonghong Airport[1],"Sehonghong, Lesotho"
SHL,VEBI,Shillong Airport (Barapani Airport),"Shillong, Meghalaya, India"
SHM,RJBD,Nanki–Shirahama Airport,"Shirahama, Honshu, Japan"
SHN,KSHN,Sanderson Field,"Shelton, Washington, United States"
SHO,FDSK,King Mswati III International Airport[1] (Sikhuphe Int'l),"Manzini, Eswatini"
SHQ,YSPT,Southport Airport[1],"Southport, Queensland, Australia"
SHR,KSHR,Sheridan County Airport,"Sheridan, Wyoming, United States"
SHS,ZHSS,Shashi Airport,"Jingzhou, Hubei, China"
SHT,YSHT,Shepparton Airport,"Shepparton, Victoria, Australia"
SHU,YSMP,Smith Point Airport[1],"Smith Point, Northern Territory, Australia"
SHV,KSHV,Shreveport Regional Airport,"Shreveport, Louisiana, United States"
SHW,OESH,Sharurah Domestic Airport,"Sharurah, Saudi Arabia"
SHX,PAHX,Shageluk Airport,"Shageluk, Alaska, United States"
SHY,HTSY,Shinyanga Airport[1],"Shinyanga, Tanzania"
SHZ,FXSS,Seshutes Airport[1],"Seshote, Lesotho"
SIA,ZLSN,Xi'an Xiguan Airport,"Xi'an, Shaanxi, China"
SIB,FCBS,Sibiti Airport[1],"Sibiti, Republic of the Congo"
SIC,,San José Airport[1],"San José Island, Panama"
SID,GVAC,Amílcar Cabral International Airport,"Sal, Cape Verde"
SIE,LPSI,Sines Airport[1],"Sines, Portugal"
SIF,VNSI,Simara Airport[1],"Simara, Nepal"
SIG,TJIG,Fernando Luis Ribas Dominicci Airport,"San Juan, Puerto Rico"
SIH,VNDT,Silgadhi Airport[1],"Dipayal Silgadhi, Nepal"
SII,GMMF,Sidi Ifni Airport (Sania Ramel Airport),"Sidi Ifni, Morocco"
SIJ,BISI,Siglufjörður Airport,"Siglufjörður, Iceland"
SIK,KSIK,Sikeston Memorial Municipal Airport,"Sikeston, Missouri, United States"
SIL,AYSG,Sila Airport[1],"Sila, Papua New Guinea"
SIM,AYSJ,Simbai Airport[1],"Simbai, Papua New Guinea"
SIN,WSSS,Singapore Changi Airport,Singapore
SIO,YSMI,Smithton Airport,"Smithton, Tasmania, Australia"
SIP,UKFF,Simferopol International Airport,Simferopol
SIQ,WIDS,Dabo Singkep Airport[1],"Singkep, Indonesia"
SIR,LSGS,Sion Airport,"Sion, Switzerland"
SIS,FASS,Sishen Airport,"Dingleton, South Africa"
SIT,PASI,Sitka Rocky Gutierrez Airport,"Sitka, Alaska, United States"
SIU,MNSI,Siuna Airport,"Siuna, Nicaragua"
SIV,KSIV,Sullivan County Airport,"Sullivan, Indiana, United States"
SIW,WIMP,Sibisa Airport[1],"Parapat, Indonesia"
SIX,YSGT,Singleton Airport[1],"Singleton, New South Wales, Australia"
SIY,KSIY,Siskiyou County Airport,"Montague / Yreka, California, United States"
SIZ,AYZN,Sissano Airport[1],"Sissano, Papua New Guinea"
SJA,SPJN,San Juan de Marcona Airport[1],"San Juan de Marcona, Peru"
SJB,SLJO,San Joaquín Airport[1],"San Joaquín, Bolivia"
SJC,KSJC,San Jose International Airport,"San Jose, California, United States"
SJD,MMSD,Los Cabos International Airport,"San José del Cabo, Baja California Sur, Mexico"
SJE,SKSJ,Jorge Enrique González Torres Airport,"San José del Guaviare, Colombia"
SJF,,Cruz Bay Seaplane Base[1],"Saint John, United States Virgin Islands"
SJG,,San Pedro de Jagua Airport[1],"San Pedro de Jagua, Colombia"
SJH,,San Juan del Cesar Airport[1],"San Juan del Cesar, Colombia"
SJI,RPUH,San Jose Airport,"San Jose, Philippines"
SJJ,LQSA,Sarajevo International Airport,"Sarajevo, Bosnia and Herzegovina"
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport,"São José dos Campos, São Paulo, Brazil"
SJL,SBUA,São Gabriel da Cachoeira Airport[1],"São Gabriel da Cachoeira, Amazonas, Brazil"
SJM,MDSJ,San Juan de la Maguana Airport,"San Juan de la Maguana, Dominican Republic"
SJN,KSJN,St. Johns Industrial Air Park,"St. Johns, Arizona, United States"
SJO,MROC,Juan Santamaría International Airport,"San José, Costa Rica"
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,"São José do Rio Preto, São Paulo, Brazil"
SJQ,FLSS,Sesheke Airport[1],"Sesheke, Zambia"
SJR,,San Juan de Urabá Airport[1],"San Juan de Urabá, Colombia"
SJS,SLJE,San José de Chiquitos Airport[1],"San José de Chiquitos, Bolivia"
SJT,KSJT,San Angelo Regional Airport (Mathis Field),"San Angelo, Texas, United States"
SJU,TJSJ,Luis Muñoz Marín International Airport,"San Juan, Puerto Rico"
SJV,SLJV,San Javier Airport[1],"San Javier, Bolivia"
SJW,ZBSJ,Shijiazhuang Zhengding International Airport,"Shijiazhuang, Hebei, China"
SJX,MZSJ,Sarteneja Airport,"Sarteneja, Belize"
SJY,EFSI,Seinäjoki Airport,"Seinäjoki, Finland"
SJZ,LPSJ,São Jorge Airport,"São Jorge Island, Azores, Portugal"
SKA,KSKA,Fairchild Air Force Base,"Spokane, Washington, United States"
SKB,TKPK,Robert L. Bradshaw International Airport,"Saint Kitts, Saint Kitts and Nevis"
SKC,AYSU,Suki Airport[1],"Suki, Papua New Guinea"
SKD,UTSS,Samarkand International Airport[1],"Samarkand, Uzbekistan"
SKE,ENSN,"Skien Airport, Geiteryggen","Skien, Norway"
SKF,KSKF,Kelly Field Annex / Lackland Air Force Base,"San Antonio, Texas, United States"
SKG,LGTS,"Thessaloniki Airport ""Macedonia""","Thessaloniki, Greece"
SKH,VNSK,Surkhet Airport[1],"Surkhet, Nepal"
SKI,DABP,Skikda Airport,"Skikda, Algeria"
SKK,PFSH,Shaktoolik Airport (FAA: 2C7),"Shaktoolik, Alaska, United States"
SKL,EGEI,Broadford Airfield[1],"Isle of Skye, Scotland, United Kingdom"
SKM,,Skeldon Airport[1],"Skeldon, Guyana"
SKN,ENSK,"Stokmarknes Airport, Skagen","Stokmarknes, Norway"
SKO,DNSO,Sadiq Abubakar III International Airport[1],"Sokoto, Nigeria"
SKP,LWSK,"Skopje ""Alexander the Great"" Airport","Skopje, North Macedonia"
SKQ,FXSK,Sekake Airport[1],"Sekake, Lesotho"
SKR,HASK,Shakiso Airport[1],"Shakiso, Ethiopia"
SKS,EKSP,Vojens Airport (Skrydstrup Airport),"Vojens, Denmark"
SKT,OPST,Sialkot International Airport,"Sialkot, Pakistan"
SKU,LGSY,Skyros Island National Airport,"Skyros, Greece"
SKV,HESC,St. Catherine International Airport,"Saint Catherine, Egypt"
SKW,PASW,Skwentna Airport,"Skwentna, Alaska, United States"
SKX,UWPS,Saransk Airport,"Saransk, Mordovia, Russia"
SKY,KSKY,Griffing Sandusky Airport,"Sandusky, Ohio, United States"
SKZ,OPSK,Sukkur Airport,"Sukkur, Pakistan"
SLA,SASA,Martín Miguel de Güemes International Airport,"Salta, Salta, Argentina"
SLB,KSLB,Storm Lake Municipal Airport,"Storm Lake, Iowa, United States"
SLC,KSLC,Salt Lake City International Airport,"Salt Lake City, Utah, United States"
SLD,LZSL,Sliač Airport,"Sliač, Slovakia"
SLE,KSLE,McNary Field,"Salem, Oregon, United States"
SLF,OESL,Sulayel Airport[1],"As Sulayyil (Sulayel), Saudi Arabia"
SLG,KSLG,Smith Field,"Siloam Springs, Arkansas, United States"
SLH,NVSC,Vanua Lava Airport,"Sola, Vanua Lava, Vanuatu"
SLI,FLSW,Solwezi Airport,"Solwezi, Zambia"
SLJ,YSOL,Solomon Airport,"Karijini National Park, Western Australia, Australia"
SLK,KSLK,Adirondack Regional Airport,"Saranac Lake, New York, United States"
SLL,OOSA,Salalah International Airport,"Salalah, Oman"
SLM,LESA,Salamanca Airport,"Salamanca, Castile and León, Spain"
SLN,KSLN,Salina Regional Airport,"Salina, Kansas, United States"
SLO,KSLO,Salem–Leckrone Airport,"Salem, Illinois, United States"
SLP,MMSP,Ponciano Arriaga International Airport,"San Luis Potosí City, San Luis Potosí, Mexico"
SLQ,PASL,Sleetmute Airport,"Sleetmute, Alaska, United States"
SLR,KSLR,Sulphur Springs Municipal Airport,"Sulphur Springs, Texas, United States"
SLS,LBSS,Silistra Airfield,"Silistra, Bulgaria"
SLT,KANK,Harriet Alexander Field (FAA: ANK),"Salida, Colorado, United States"
SLU,TLPC,George F. L. Charles Airport,"Castries, Saint Lucia"
SLV,VISM,Shimla Airport,"Simla, Himachal Pradesh, India"
SLW,MMIO,Plan de Guadalupe International Airport,"Saltillo, Coahuila, Mexico"
SLX,MBSY,Salt Cay Airport[1],"Salt Cay, British Overseas Territory of Turks and Caicos Islands"
SLY,USDD,Salekhard Airport,"Salekhard, Yamalo-Nenets Autonomous Okrug, Russia"
SLZ,SBSL,Marechal Cunha Machado International Airport,"São Luís, Maranhão, Brazil"
SMA,LPAZ,Santa Maria Airport,"Santa Maria Island, Azores, Portugal"
SMB,SCSB,Franco Bianco Airport[1],"Cerro Sombrero, Chile"
SMC,,Santa María Airport[1],"Santa María, Colombia"
SMD,KSMD,Smith Field,"Fort Wayne, Indiana, United States"
SME,KSME,Lake Cumberland Regional Airport,"Somerset, Kentucky, United States"
SMF,KSMF,Sacramento International Airport,"Sacramento, California, United States"
SMG,SPMR,Santa María Airport[1],"Santa María del Mar, Peru"
SMH,AYSP,Sapmanga Airport,"Sapmanga, Papua New Guinea"
SMI,LGSM,"Samos International Airport ""Aristarchos of Samos""","Samos, Greece"
SMJ,,Sim Airport[1],"Sim, Papua New Guinea"
SMK,PAMK,St. Michael Airport,"St. Michael, Alaska, United States"
SML,MYLS,Stella Maris Airport[1],"Stella Maris, Long Island, Bahamas"
SMM,WBKA,Semporna Airport,"Semporna, Sabah, Malaysia"
SMN,KSMN,Lemhi County Airport,"Salmon, Idaho, United States"
SMO,KSMO,Santa Monica Municipal Airport,"Santa Monica, California, United States"
