,,,
SMP,,Stockholm Airport[1],"Stockholm, Papua New Guinea"
SMQ,WAOS,H. Asan Airport,"Sampit, Indonesia"
SMR,SKSM,Simón Bolívar International Airport,"Santa Marta, Colombia"
SMS,FMMS,Sainte Marie Airport,"Île Sainte-Marie, Madagascar"
SMU,PASP,Sheep Mountain Airport,"Sheep Mountain, Alaska, United States"
SMV,LSZS,Samedan Airport (Engadin Airport),"St. Moritz, Switzerland"
SMW,GMMA,Smara Airport[1],"Smara, Morocco"
SMX,KSMX,Santa Maria Public Airport (Capt. G. Allan Hancock Field),"Santa Maria, California, United States"
SMY,GOTS,Simenti Airport,"Simenti, Senegal"
SMZ,SMST,Stoelmans Eiland Airstrip,"Stoelmans Eiland (Stoelmanseiland), Suriname"
SNA,KSNA,John Wayne Airport (Orange County Airport),"Santa Ana, California, United States"
SNB,YSNB,Snake Bay Airport,"Milikapiti, Northern Territory, Australia"
SNC,SESA,General Ulpiano Paez Airport,"Salinas, Ecuador"
SNE,GVSN,Preguiça Airport,"São Nicolau, Cape Verde"
SNF,SVSP,Sub Teniente Nestor Arias Airport[1],"San Felipe, Venezuela"
SNG,SLSI,Capitán Av. Juan Cochamanidis Airport[1],"San Ignacio de Velasco, Bolivia"
SNH,YSPE,Stanthorpe Airport,"Stanthorpe, Queensland, Australia"
SNI,GLGE,Greenville/Sinoe Airport (R.E. Murray Airport),"Greenville, Liberia"
SNJ,MUSJ,San Julián Air Base[1],"Guane, Cuba"
SNK,KSNK,Winston Field Airport,"Snyder, Texas, United States"
SNL,KSNL,Shawnee Regional Airport,"Shawnee, Oklahoma, United States"
SNM,SLSM,San Ignacio de Moxos Airport[1],"San Ignacio de Moxos, Bolivia"
SNN,EINN,Shannon Airport,"Shannon, Ireland"
SNO,VTUI,Sakon Nakhon Airport[1],"Sakon Nakhon, Thailand"
SNP,PASN,St. Paul Island Airport,"St. Paul Island, Alaska, United States"
SNQ,,San Quintín Military Airstrip[1],"San Quintín, Baja California, Mexico"
SNR,LFRZ,Saint-Nazaire Montoir Airport,"Saint-Nazaire, Pays de la Loire, France"
SNS,KSNS,Salinas Municipal Airport,"Salinas, California, United States"
SNT,SKRU,Las Cruces Airport[1],"Sabana de Torres, Colombia"
SNU,MUSC,Abel Santamaría Airport,"Santa Clara, Cuba"
SNV,SVSE,Santa Elena de Uairén Airport[1],"Santa Elena de Uairén, Venezuela"
SNW,VYTD,Thandwe Airport[1],"Thandwe, Myanmar"
SNX,OIIS,Semnan Municipal Airport[1],"Semnan, Iran"
SNY,KSNY,Sidney Municipal Airport (Lloyd W. Carr Field),"Sidney, Nebraska, United States"
SNZ,SBSC,Santa Cruz Air Force Base,"Rio de Janeiro, Rio de Janeiro, Brazil"
SOA,,Sóc Trăng Airfield[1],"Sóc Trăng, Vietnam"
SOB,LHSM,Hévíz–Balaton Airport,"Hévíz, Hungary"
SOC,WARQ,Adisumarmo International Airport,"Surakarta (Solo), Indonesia"
SOD,SDCO,Bertram Luiz Leupolz–Sorocaba Airport,"Sorocaba, São Paulo, Brazil"
SOE,FCOS,Souanké Airport[1],"Souanké, Republic of the Congo"
SOF,LBSF,Sofia Airport,"Sofia, Bulgaria"
SOG,ENSG,"Sogndal Airport, Haukåsen","Sogndal, Norway"
SOJ,ENSR,Sørkjosen Airport,"Sørkjosen, Norway"
SOK,FXSM,Semonkong Airport,"Semonkong, Lesotho"
SOL,,Solomon State Field Airport[1] (FAA: AK26),"Solomon, Alaska, United States"
SOM,SVST,San Tomé Airport,"San Tomé, Venezuela"
SON,NVSS,Santo-Pekoa International Airport,"Luganville, Vanuatu"
SOO,ESNY,Söderhamn Airport[1] (Helsinge Airport),"Söderhamn, Sweden"
SOP,KSOP,Moore County Airport,"Pinehurst / Southern Pines, North Carolina, United States"
SOQ,WASS,Dominique Edward Osok Airport[1],"Sorong, Indonesia"
SOT,EFSO,Sodankylä Airfield[1],"Sodankylä, Finland"
SOU,EGHI,Southampton Airport,"Southampton, England, United Kingdom"
SOV,PASO,Seldovia Airport,"Seldovia, Alaska, United States"
SOW,KSOW,Show Low Regional Airport,"Show Low, Arizona, United States"
SOX,SKSO,Alberto Lleras Camargo Airport[1],"Sogamoso, Colombia"
SOY,EGER,Stronsay Airport,"Stronsay, Scotland, United Kingdom"
SOZ,LFKS,Solenzara Air Base[1],"Sari-Solenzara, Corsica, France"
SPA,KSPA,Spartanburg Downtown Memorial Airport,"Spartanburg, South Carolina, United States"
SPB,,Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base) (FAA: VI22),"St. Thomas Island, United States Virgin Islands"
SPC,GCLA,La Palma Airport,"La Palma, Canary Islands, Spain"
SPD,VGSD,Saidpur Airport,"Saidpur, Bangladesh"
SPE,WBKO,Sepulot Airport[1],"Sapulut, Sabah, Malaysia"
SPF,KSPF,Black Hills Airport (Clyde Ice Field),"Spearfish, South Dakota, United States"
SPG,KSPG,Albert Whitted Airport,"St. Petersburg, Florida, United States"
SPH,AYQO,Sopu Airport,"Sopu, Papua New Guinea"
SPI,KSPI,Abraham Lincoln Capital Airport,"Springfield, Illinois, United States"
SPJ,LGSP,Sparti Airport,"Sparti (Sparta), Greece"
SPK[1],,metropolitan area5,"Sapporo, Hokkaido, Japan"
SPM,ETAD,Spangdahlem Air Base,"Spangdahlem, Rhineland-Palatinate, Germany"
SPN,PGSN,Saipan International Airport (Francisco C. Ada Int'l) (FAA: GSN),"Saipan, Northern Mariana Islands"
SPP,FNME,Menongue Airport[1],"Menongue, Angola"
SPR,MZSP,John Greif II Airport,"San Pedro Town, Belize"
SPS,KSPS,Wichita Falls Municipal Airport,"Wichita Falls, Texas, United States"
SPT,,Sipitang Airstrip[1],"Sipitang, Sabah, Malaysia"
SPU,LDSP,Split Airport,"Split, Croatia"
SPV,,Sepik Plains Airport[1],"Sepik Plains, Papua New Guinea"
SPW,KSPW,Spencer Municipal Airport,"Spencer, Iowa, United States"
SPY,DISP,San Pédro Airport[1],"San-Pédro, Ivory Coast"
SPX,,Sphinx International Airport[1],"Egypt, Egypt"
SPZ,KASG,Springdale Municipal Airport (FAA: ASG),"Springdale, Arkansas, United States"
SQA,KIZA,Santa Ynez Airport (FAA: IZA),"Santa Ynez, California, United States"
SQB,,Santa Ana Airport[1],"Piedras, Colombia"
SQC,YSCR,Southern Cross Airport[1],"Southern Cross, Western Australia, Australia"
SQD,ZSSR,Shangrao Sanqingshan Airport[1],"Shangrao, Jiangxi, China"
SQE,,San Luis de Palenque Airport[1],"San Luis de Palenque, Colombia"
SQG,WIOS,Tebelian Airport[1] (Susilo Airport),"Sintang, Indonesia"
SQH,VVNS,Nà Sản Airport[1],"Sơn La, Vietnam"
SQI,KSQI,Whiteside County Airport (Jos. H. Bittorf Field),"Sterling / Rock Falls, Illinois, United States"
SQJ,,Sanming Shaxian Airport[1],"Sanming, Fujian, China"
SQK,,Sidi Barrani Airport[1],"Sidi Barrani, Egypt"
SQL,KSQL,San Carlos Airport,"San Carlos, California, United States"
SQM,SWUA,São Miguel do Araguaia Airport[1],"São Miguel do Araguaia, Goiás, Brazil"
SQN,WAPN,Sanana Airport[1],"Sanana Island, Indonesia"
SQO,ESUD,Storuman Airport[1],"Storuman, Sweden"
SQQ,EYSA,Šiauliai International Airport,"Šiauliai, Lithuania"
SQR,WAWS,Soroako Airport,"Soroako, Indonesia"
SQS,,Matthew Spain Airport[1],"San Ignacio, Belize"
SQT,,China Strait Airstrip[1],"Samarai, Papua New Guinea"
SQU,SPOA,Saposoa Airport[1],"Saposoa, Peru"
SQV,,Sequim Valley Airport (FAA: W28),"Sequim, Washington, United States"
SQW,EKSV,Skive Airport,"Skive, Denmark"
SQX,SSOE,Hélio Wasum Airport,"São Miguel do Oeste, Santa Catarina, Brazil"
SQY,SSRU,São Lourenço do Sul Airport[1],"São Lourenço do Sul, Rio Grande do Sul, Brazil"
SQZ,EGXP,RAF Scampton[1],"Scampton, England, United Kingdom"
SRA,SSZR,Santa Rosa Airport[1],"Santa Rosa, Rio Grande do Sul, Brazil"
SRB,SLSR,Santa Rosa Airport[1],"Santa Rosa de Yacuma, Bolivia"
SRC,KSRC,Searcy Municipal Airport,"Searcy, Arkansas, United States"
SRD,SLRA,San Ramón Airport[1],"San Ramón, Bolivia"
SRE,SLAL,Alcantarí Airport,"Sucre, Bolivia"
SRF,,San Rafael Airport (Hamilton Field),"San Rafael, California, United States"
SRG,WARS,Achmad Yani International Airport,"Semarang, Indonesia"
SRH,FTTA,Sarh Airport,"Sarh, Chad"
SRI,WALS,Temindung Airport,"Samarinda, Indonesia"
SRJ,SLSB,Capitán Germán Quiroga Guardia Airport,"San Borja, Bolivia"
SRL,,Palo Verde Airport[1],"Santa Rosalía, Baja California Sur, Mexico"
SRM,,Sandringham Station Airport[1],"Sandringham Station, Queensland, Australia"
SRN,YSRN,Strahan Airport[1],"Strahan, Tasmania, Australia"
SRO,,Santana Ramos Airport[1],"Santana Ramos, Colombia"
SRP,ENSA,"Stord Airport, Sørstokken","Stord, Norway"
SRQ,KSRQ,Sarasota–Bradenton International Airport,"Sarasota / Bradenton, Florida, United States"
SRR,,Dunwich Airport[1],"North Stradbroke Island, Queensland, Australia"
SRS,,San Marcos Airport[1],"San Marcos, Colombia"
SRT,HUSO,Soroti Airport,"Soroti, Uganda"
SRV,,Stony River Airport,"Stony River, Alaska, United States"
SRW,KRUQ,Rowan County Airport (FAA: RUQ),"Salisbury, North Carolina, United States"
SRX,HLGD,Gardabya Airport,"Sirte, Libya"
SRY,OINZ,Dasht-e Naz Airport,"Sari, Iran"
SRZ,SLET,El Trompillo Airport,"Santa Cruz de la Sierra, Bolivia"
SSA,SBSV,Deputado Luís Eduardo Magalhães International Airport,"Salvador, Bahia, Brazil"
SSB,,Christiansted Harbor Seaplane Base (St. Croix Seaplane Base) (FAA: VI32),"Saint Croix, United States Virgin Islands"
SSC,KSSC,Shaw Air Force Base,"Sumter, South Carolina, United States"
SSD,,San Felipe Airport,"San Felipe, Colombia"
SSE,VASL,Solapur Airport,"Solapur, Maharashtra, India"
SSF,KSSF,Stinson Municipal Airport,"San Antonio, Texas, United States"
SSG,FGSL,Malabo International Airport (Saint Isabel Airport),"Malabo, Equatorial Guinea"
SSH,HESH,Sharm el-Sheikh International Airport,"Sharm el-Sheikh, Egypt"
SSI,KSSI,Malcolm McKinnon Airport,"Brunswick, Georgia, United States"
SSJ,ENST,"Sandnessjøen Airport, Stokka","Sandnessjøen, Norway"
SSK,,Sturt Creek Airport[1],"Sturt Creek, Western Australia, Australia"
SSL,SKSL,Santa Rosalía Airport[1],"Santa Rosalía, Colombia"
SSN,RKSM,Seoul Air Base,"Seoul, South Korea"
SSO,SNLO,São Lourenço Airport[1],"São Lourenço, Minas Gerais, Brazil"
SSP,,Silver Plains Airport[1],"Silver Plains, Queensland, Australia"
SSQ,,La Sarre Airport (TC: CSR8),"La Sarre, Quebec, Canada"
SSR,NVSH,Sara Airport,"Sara, Vanuatu"
SSS,,Siassi Airport[1],"Umboi Island (Siassi), Papua New Guinea"
SST,SAZL,Santa Teresita Airport[1],"Santa Teresita, Buenos Aires, Argentina"
SSV,,Siasi Airport,"Siasi, Philippines"
SSW,,Stuart Island Airpark[1] (FAA: 7WA5),"Stuart Island, Washington, United States"
SSY,FNBC,Mbanza Congo Airport[1],"M'banza-Kongo, Angola"
SSZ,SBST,Santos Air Force Base,"Santos, São Paulo, Brazil"
STA,EKVJ,Stauning Vestjylland Airport,"Skjern, Denmark"
STB,SVSZ,Miguel Urdaneta Fernández Airport,"Santa Bárbara del Zulia, Venezuela"
STC,KSTC,St. Cloud Regional Airport,"St. Cloud, Minnesota, United States"
STD,SVSO,Mayor Buenaventura Vivas Airport,"Santo Domingo, Táchira, Venezuela"
STE,KSTE,Stevens Point Municipal Airport,"Stevens Point, Wisconsin, United States"
STF,YSTI,Stephens Island Airport,"Stephens Island, Queensland, Australia"
STG,PAPB,St. George Airport (FAA: PBV),"St. George, Alaska, United States"
STH,YSMR,Strathmore Airport[1],"Strathmore Station, Queensland, Australia"
STI,MDST,Cibao International Airport,"Santiago de los Caballeros, Dominican Republic"
STJ,KSTJ,Rosecrans Memorial Airport,"St. Joseph, Missouri, United States"
STK,KSTK,Sterling Municipal Airport,"Sterling, Colorado, United States"
STL,KSTL,Lambert–St. Louis International Airport,"St. Louis, Missouri, United States"
STM,SBSN,Santarém-Maestro Wilson Fonseca Airport,"Santarém, Pará, Brazil"
STN,EGSS,London Stansted Airport,"London, England, United Kingdom"
STO[1],,metropolitan area6,"Stockholm, Sweden"
STP,KSTP,St. Paul Downtown Airport (Holman Field),"St. Paul / Minneapolis, Minnesota, United States"
STQ,KOYM,St. Marys Municipal Airport (FAA: OYM),"St. Marys, Pennsylvania, United States"
STR,EDDS,Stuttgart Airport,"Stuttgart, Baden-Württemberg, Germany"
STS,KSTS,Charles M. Schulz–Sonoma County Airport,"Santa Rosa, California, United States"
STT,TIST,Cyril E. King Airport,"St. Thomas Island, United States Virgin Islands"
STV,VASU,Surat Airport,"Surat, Gujarat, India"
STW,URMT,Stavropol Shpakovskoye Airport,"Stavropol, Stavropol Krai, Russia"
STX,TISX,Henry E. Rohlsen Airport,"Saint Croix, United States Virgin Islands"
STY,SUSO,Nueva Hespérides International Airport,"Salto, Uruguay"
STZ,SWST,Santa Terezinha Airport[1],"Santa Terezinha, Mato Grosso, Brazil"
SUA,KSUA,Witham Field,"Stuart, Florida, United States"
SUB,WARR,Juanda International Airport,"Surabaya, Indonesia"
SUD,KSUD,Stroud Municipal Airport,"Stroud, Oklahoma, United States"
SUE,KSUE,Door County Cherryland Airport,"Sturgeon Bay, Wisconsin, United States"
SUF,LICA,Lamezia Terme International Airport,"Lamezia Terme, Calabria, Italy"
SUG,RPMS,Surigao Airport,"Surigao City, Philippines"
SUH,OOSR,Sur Airport[1],"Sur, Oman"
SUI,UGSS,Sukhumi Babushara Airport (Dranda Airport),"Sukhumi, Georgia"
SUJ,LRSM,Satu Mare International Airport,"Satu Mare, Romania"
SUK,UEBS,Sakkyryr Airport,"Batagay-Alyta (Sakkyryr), Yakutia, Russia"
SUL,OPSU,Sui Airport[1],"Sui, Pakistan"
SUM,KSMS,Sumter Airport (FAA: SMS),"Sumter, South Carolina, United States"
SUN,KSUN,Friedman Memorial Airport,"Hailey / Sun Valley, Idaho, United States"
SUO,,Sunriver Airport (FAA: S21),"Sunriver, Oregon, United States"
SUP,WART,Trunojoyo Airport[1],"Sumenep, Indonesia"
SUQ,SESC,Sucúa Airport[1],"Sucúa, Ecuador"
SUR,,Summer Beaver Airport[1] (TC: CJV7),"Summer Beaver, Ontario, Canada"
SUS,KSUS,Spirit of St. Louis Airport,"St. Louis, Missouri, United States"
SUT,HTSU,Sumbawanga Airport,"Sumbawanga, Tanzania"
SUU,KSUU,Travis Air Force Base,"Fairfield, California, United States"
SUV,NFNA,Nausori International Airport,"Suva, Fiji"
SUW,KSUW,Richard I. Bong Airport,"Superior, Wisconsin, United States"
SUX,KSUX,Sioux Gateway Airport (Colonel Bud Day Field),"Sioux City, Iowa, United States"
SUY,UENS,Suntar Airport[1],"Suntar, Yakutia, Russia"
SUZ,,Suria Airport[1],"Suria, Papua New Guinea"
SVA,PASA,Savoonga Airport,"Savoonga, Alaska, United States"
SVB,FMNS,Sambava Airport[1],"Sambava, Madagascar"
SVC,KSVC,Grant County Airport,"Silver City, New Mexico, United States"
SVD,TVSA,Argyle International Airport,"Saint Vincent, Saint Vincent and the Grenadines"
SVE,KSVE,Susanville Municipal Airport,"Susanville, California, United States"
SVF,DBBS,Savé Airport,"Savé, Benin"
SVG,ENZV,"Stavanger Airport, Sola","Stavanger, Norway"
SVH,KSVH,Statesville Regional Airport,"Statesville, North Carolina, United States"
SVI,SKSV,Eduardo Falla Solano Airport[1],"San Vicente del Caguán, Colombia"
SVJ,ENSH,"Svolvær Airport, Helle","Svolvær, Norway"
SVK,MZKT,Silver Creek Airport[1],"Silver Creek, Belize"
SVL,EFSA,Savonlinna Airport[1],"Savonlinna, Finland"
SVM,,St Pauls Airport[1],"St Pauls, Queensland, Australia"
SVN,KSVN,Hunter Army Airfield,"Savannah, Georgia, United States"
SVO,UUEE,Sheremetyevo International Airport,"Moscow, Russia"
SVP,FNKU,Kuito Airport[1],"Kuito, Angola"
SVQ,LEZL,Seville Airport,"Seville, Andalusia, Spain"
SVS,,Stevens Village Airport,"Stevens Village, Alaska, United States"
SVT,FBSV,Savuti Airport[1],"Savuti, Botswana"
SVU,NFNS,Savusavu Airport,"Savusavu, Fiji"
SVW,PASV,Sparrevohn LRRS Airport,"Sparrevohn, Alaska, United States"
SVX,USSS,Koltsovo International Airport,"Yekaterinburg, Sverdlovsk Oblast, Russia"
SVY,,Savo Airport[1],"Savo Island, Solomon Islands"
SVZ,SVSA,Juan Vicente Gómez International Airport,"San Antonio del Táchira, Venezuela"
SWA,ZGOW,Jieyang Chaoshan International Airport,"Shantou / Jieyang / Chaozhou, Guangdong, China"
SWB,,Shaw River Airport[1],"Shaw River, Western Australia, Australia"
SWC,YSWL,Stawell Airport[1],"Stawell, Victoria, Australia"
SWD,PAWD,Seward Airport,"Seward, Alaska, United States"
SWE,,Siwea Airport[1],"Siwea, Papua New Guinea"
SWF,KSWF,Stewart International Airport,"Newburgh, New York, United States"
SWG,,Satwag Airport[1],"Satwag, Papua New Guinea"
SWH,YSWH,Swan Hill Airport[1],"Swan Hill, Victoria, Australia"
SWJ,NVSX,South West Bay Airport[1],"South West Bay, Vanuatu"
SWL,RPSV,San Vicente Airport,"San Vicente, Palawan, Philippines"
SWM,,Suia-Missu Airport[1],"Alto Boa Vista, Mato Grosso, Brazil"
SWN,OPSW,Sahiwal Airport,"Sahiwal, Pakistan"
SWO,KSWO,Stillwater Regional Airport,"Stillwater, Oklahoma, United States"
SWP,FYSM,Swakopmund Airport[1],"Swakopmund, Namibia"
SWQ,WADS,Sultan Muhammad Kaharuddin III Airport[1] (Brangbiji Airport),"Sumbawa Besar, Indonesia"
SWR,,Silur Airport[1],"Silur, Papua New Guinea"
SWS,EGFH,Swansea Airport,"Swansea, Wales, United Kingdom"
SWT,UNSS,Strezhevoy Airport,"Strezhevoy, Tomsk Oblast, Russia"
SWU,RKSW,Suwon Air Base[1],"Suwon, South Korea"
SWV,UHMW,Severo-Evensk Airport[1],"Evensk, Magadan Oblast, Russia"
SWW,KSWW,Avenger Field,"Sweetwater, Texas, United States"
SWX,FBSW,Shakawe Airport[1],"Shakawe, Botswana"
SWY,WMBA,Sitiawan Airport,"Sitiawan, Perak, Malaysia"
SXA,,Sialum Airport[1],"Sialum, Papua New Guinea"
SXB,LFST,Strasbourg Airport,"Strasbourg, Alsace, France"
SXE,YWSL,West Sale Airport[1],"Sale, Victoria, Australia"
SXG,FLSN,Senanga Airport[1],"Senanga, Zambia"
SXH,,Sehulea Airport[1],"Sehulea, Papua New Guinea"
SXI,OIBS,Sirri Island Airport[1],"Sirri Island, Iran"
SXJ,ZWSS,Shanshan Airport[1],"Shanshan, Xinjiang, China"
SXK,WAPI,Saumlaki Airport[1] (Olilit Airport),"Saumlaki, Indonesia"
SXL,EISG,Sligo Airport,"Sligo, Ireland"
SXM,TNCM,Princess Juliana International Airport,"Sint Maarten, Kingdom of the Netherlands"
SXN,FBSN,Sua Pan Airport[1],"Sua Pan, Botswana"
SXO,SWFX,São Félix do Araguaia Airport[1],"São Félix do Araguaia, Mato Grosso, Brazil"
SXP,,Sheldon Point Airport,"Nunam Iqua, Alaska, United States"
SXQ,PASX,Soldotna Airport,"Soldotna, Alaska, United States"
SXR,VISR,Sheikh ul-Alam International Airport[1],"Srinagar, Jammu and Kashmir, India"
SXS,WBKH,Sahabat Airport[1],"Sahabat, Sabah, Malaysia"
SXT,WMAN,Sungai Tiang Airport[1],"Taman Negara, Pahang, Malaysia"
SXU,HASD,Soddu Airport[1],"Sodo, Ethiopia"
SXV,VOSM,Salem Airport,"Salem, Tamil Nadu, India"
SXW,,Sauren Airport[1],"Sauren, Papua New Guinea"
SXX,SNFX,São Félix do Xingu Airport[1],"São Félix do Xingu, Pará, Brazil"
SXY,,Sidney Municipal Airport (FAA: N23),"Sidney, New York, United States"
SXZ,LTCL,Siirt Airport,"Siirt, Turkey"
SYA,PASY,Eareckson Air Station,"Shemya, Alaska, United States"
SYB,,Seal Bay Seaplane Base[1],"Seal Bay, Alaska, United States"
SYC,SPSY,Shiringayoc Airport[1],"Shiringayoc, Peru"
SYD,YSSY,Sydney Airport (Kingsford Smith Airport),"Sydney, New South Wales, Australia"
SYE,OYSH,Saadah Airport[1],"Sa'dah, Yemen"
SYF,,Silva Bay Seaplane Base,"Gabriola Island, British Columbia, Canada"
SYI,KSYI,Shelbyville Municipal Airport (Bomar Field),"Shelbyville, Tennessee, United States"
SYJ,OIKY,Sirjan Airport,"Sirjan, Iran"
SYK,BIST,Stykkishólmur Airport,"Stykkishólmur, Iceland"
SYM,ZPSM,Pu'er Simao Airport[1],"Simao, Yunnan, China"
SYN,KSYN,Stanton Airfield,"Stanton, Minnesota, United States"
SYO,RJSY,Shonai Airport,"Shōnai, Honshu, Japan"
SYP,MPSA,Ruben Cantu Airport,"Santiago de Veraguas, Panama"
SYQ,MRPV,Tobías Bolaños International Airport,"San José, Costa Rica"
SYR,KSYR,Syracuse Hancock International Airport,"Syracuse, New York, United States"
SYS,UERS,Saskylakh Airport[1],"Saskylakh, Yakutia, Russia"
SYT,LFLN,Saint-Yan Airport[1] (Charolais Bourgogne Sud Airport),"Saint-Yan, Burgundy, France"
SYU,YWBS,Warraber Island Airport[1],"Sue Islet, Queensland, Australia"
SYV,KSYV,Sylvester Airport,"Sylvester, Georgia, United States"
SYW,OPSN,Sehwan Sharif Airport[1],"Sehwan Sharif, Pakistan"
SYX,ZJSY,Sanya Phoenix International Airport,"Sanya, Hainan, China"
SYY,EGPO,Stornoway Airport,"Stornoway, Scotland, United Kingdom"
SYZ,OISS,Shiraz International Airport (Shahid Dastghaib Int'l),"Shiraz, Iran"
SZA,FNSO,Soyo Airport[1],"Soyo, Angola"
SZB,WMSA,Sultan Abdul Aziz Shah Airport,"Kuala Lumpur,7 Malaysia"
SZE,HASM,Semera Airport[1],"Semera, Ethiopia"
SZF,LTFH,Samsun-Çarşamba Airport,"Samsun, Turkey"
SZG,LOWS,Salzburg Airport,"Salzburg, Austria"
SZI,,Zaysan Airport,"Zaysan, Kazakhstan"
SZJ,MUSN,Siguanea Airport[1],"Isla de la Juventud, Cuba"
SZK,FASZ,Skukuza Airport[1],"Skukuza, South Africa"
SZL,KSZL,Whiteman Air Force Base,"Knob Noster, Missouri, United States"
SZM,,Sesriem Airport[1],"Sesriem, Namibia"
SZN,KSZN,Santa Cruz Island Airport,"Santa Cruz Island, California, United States"
SZP,KSZP,Santa Paula Airport,"Santa Paula, California, United States"
SZR,LBSZ,Stara Zagora Airport,"Stara Zagora, Bulgaria"
SZS,NZRC,Ryan's Creek Aerodrome,"Stewart Island, New Zealand"
SZU,,Ségou Airport[1],"Ségou, Mali"
SZV,ZSSZ,Suzhou Guangfu Airport,"Suzhou, Jiangsu, China"
SZW,EDOP,Schwerin-Parchim International Airport,"Schwerin, Mecklenburg-Vorpommern, Germany"
SZX,ZGSZ,Shenzhen Bao'an International Airport,"Shenzhen, Guangdong, China"
SZY,EPSY,Olsztyn-Mazury Regional Airport,"Szczytno / Olsztyn, Poland"
SZZ,EPSC,"""Solidarity"" Szczecin–Goleniów Airport","Szczecin, Poland"