VAA,EFVA,Vaasa Airport,"Vaasa, Finland"
VAB,,Yavarate Airport[1],"Yavarate, Colombia"
VAC,EDWU,Varrelbusch Airport[1],"Cloppenburg, Lower Saxony, Germany"
VAD,KVAD,Moody Air Force Base,"Valdosta, Georgia, United States"
VAF,LFLU,Valence-Chabeuil Airport,"Valence, Rhône-Alpes, France"
VAG,SBVG,Major Brigadeiro Trompowsky Airport,"Varginha, Minas Gerais, Brazil"
VAH,SLVG,Cap. Av. Vidal Villagomez Toledo Airport[1],"Vallegrande, Bolivia"
VAI,AYVN,Vanimo Airport[1],"Vanimo, Papua New Guinea"
VAK,PAVA,Chevak Airport,"Chevak, Alaska, United States"
VAL,SNVB,Valença Airport[1],"Valença, Bahia, Brazil"
VAM,VRMV,Villa International Airport Maamigili,"Maamigili, Maldives"
VAN,LTCI,Van Ferit Melen Airport,"Van, Turkey"
VAO,AGGV,Suavanao Airport[1],"Suavanao, Solomon Islands"
VAP,SCRD,Rodelillo Airfield[1],"Valparaíso, Chile"
VAR,LBWN,Varna Airport,"Varna, Bulgaria"
VAS,LTAR,Sivas Airport,"Sivas, Turkey"
VAT,FMMY,Vatomandry Airport[1],"Vatomandry, Madagascar"
VAU,NFNV,Vatukoula Airport[1],"Vatukoula, Fiji"
VAV,NFTV,Vavaʻu International Airport[1],"Vavaʻu, Tonga"
VAW,ENSS,"Vardø Airport, Svartnes","Vardø, Norway"
VBA,VYAN,Ann Airport[1],"Ann, Myanmar"
VBC,VYCZ,Mandalay Chanmyathazi Airport[1],"Mandalay, Myanmar"
VBG,KVBG,Vandenberg Air Force Base,"Lompoc, California, United States"
VBP,VYBP,Bokpyin Airport[1],"Bokpyin, Myanmar"
VBS,LIPO,Brescia Airport (Gabriele D'Annunzio Airport),"Brescia, Lombardy, Italy"
VBV,NFVB,Vanuabalavu Airport[1],"Vanua Balavu, Fiji"
VBY,ESSV,Visby Airport,"Visby, Sweden"
VCA,VVCT,Can Tho International Airport,"Can Tho (Cần Thơ), Vietnam"
VCD,YVRD,Victoria River Downs Airport[1],"Victoria River Downs Station, Northern Territory, Australia"
VCE,LIPZ,Venice Marco Polo Airport,"Venice, Veneto, Italy"
VCF,,Valcheta Airport[1],"Valcheta, Río Negro, Argentina"
VCH,SUVO,Vichadero Airport,"Vichadero, Uruguay"
VCL,VVCA,Chu Lai International Airport,"Chu Lai, Vietnam"
VCP,SBKP,Viracopos/Campinas International Airport,"São Paulo / Campinas, São Paulo, Brazil"
VCR,SVCO,Carora Airport[1],"Carora, Venezuela"
VCS,VVCS,Con Dao Airport (Cỏ Ống Airport),"Con Dao Island (Côn Đảo), Vietnam"
VCT,KVCT,Victoria Regional Airport,"Victoria, Texas, United States"
VCV,KVCV,Southern California Logistics Airport,"Victorville, California, United States"
VDA,LLOV,Ovda Airport,"Ovda (Uvda), Israel"
VDB,ENFG,"Fagernes Airport, Leirin","Fagernes, Norway"
VDC,SSVC,Glauber Rocha Airport,"Vitória da Conquista, Bahia, Brazil"
VDE,GCHI,El Hierro Airport[1],"Valverde, Canary Islands, Spain"
VDH,VVDH,Dong Hoi Airport[1],"Dong Hoi (Đồng Hới), Vietnam"
VDI,KVDI,Vidalia Regional Airport,"Vidalia, Georgia, United States"
VDM,SAVV,Gobernador Edgardo Castello Airport,"Viedma, Río Negro, Argentina"
VDO,VVVD,Van Don International Airport,"Ha Long, Quang Ninh (Quảng Ninh), Vietnam"
VDP,SVVP,Valle de la Pascua Airport,"Valle de la Pascua, Venezuela"
VDR,SAOD,Villa Dolores Airport,"Villa Dolores, Córdoba, Argentina"
VDS,ENVD,Vadsø Airport,"Vadsø, Norway"
VDY,VOJV,Vidyanagar Airport[1] (Jindal Airport),"Toranagallu, Karnataka, India"
VDZ,PAVD,Valdez Airport (Pioneer Field),"Valdez, Alaska, United States"
VEE,PAVE,Venetie Airport,"Venetie, Alaska, United States"
VEG,SYMK,Maikwak Airport[1],"Maikwak, Guyana"
VEL,KVEL,Vernal Regional Airport,"Vernal, Utah, United States"
VER,MMVR,General Heriberto Jara International Airport,"Veracruz, Veracruz, Mexico"
VEV,AGBA,Barakoma Airport[1],"Barakoma, Solomon Islands"
VEX,,Tioga Municipal Airport (FAA: D60),"Tioga, North Dakota, United States"
VEY,BIVM,Vestmannaeyjar Airport,"Vestmannaeyjar, Iceland"
VFA,FVFA,Victoria Falls Airport,"Victoria Falls, Zimbabwe"
VGA,VOBZ,NTR Amaravati International Airport,"Vijayawada, Andhra Pradesh, India"
VGD,ULWW,Vologda Airport,"Vologda, Vologda Oblast, Russia"
VGO,LEVX,Vigo–Peinador Airport,"Vigo, Galicia, Spain"
VGS,,General Villegas Airport[1],"General Villegas, Buenos Aires, Argentina"
VGT,KVGT,North Las Vegas Airport,"Las Vegas, Nevada, United States"
VGZ,SKVG,Villa Garzón Airport,"Villagarzón, Colombia"
VHC,FNSA,Henrique de Carvalho Airport[1],"Saurimo, Angola"
VHM,ESNV,Vilhelmina Airport,"Vilhelmina, Sweden"
VHN,KVHN,Culberson County Airport,"Van Horn, Texas, United States"
VHV,UENI,Verkhnevilyuysk Airport,"Verkhnevilyuysk, Yakutia, Russia"
VHY,LFLV,Vichy — Charmeil Airport[1],"Vichy, Auvergne, France"
VHZ,NTUV,Vahitahi Airport[1],"Vahitahi, Tuamotus, French Polynesia"
VIA,SSVI,Ângelo Ponzoni Municipal Airport,"Videira, Santa Catarina, Brazil"
VIB,,Villa Constitución Airport[1],"Ciudad Constitución, Baja California Sur, Mexico"
VIC,LIPT,Vicenza Airport,"Vicenza, Veneto, Italy"
VIE,LOWW,Vienna International Airport,"Vienna, Austria"
VIG,SVVG,Juan Pablo Pérez Alfonzo Airport,"El Vigía, Venezuela"
VIH,KVIH,Rolla National Airport,"Rolla / Vichy, Missouri, United States"
VII,VVVH,Vinh International Airport,"Vinh, Vietnam"
VIJ,TUPW,Virgin Gorda Airport,"Virgin Gorda, British Overseas Territory of Virgin Islands"
VIL,GMMH,Dakhla Airport,"Dakhla, Morocco"
VIN,UKWW,Havryshivka Vinnytsia International Airport,"Vinnytsia, Ukraine"
VIQ,WPVQ,Viqueque Airport,"Viqueque, East Timor"
VIR,FAVG,Virginia Airport[1],"Durban, South Africa"
VIS,KVIS,Visalia Municipal Airport,"Visalia, California, United States"
VIT,LEVT,Vitoria Airport,"Vitoria-Gasteiz, Basque Country, Spain"
VIU,,Viru Harbour Airport[1],"Viru Harbour, Solomon Islands"
VIV,,Vivigani Airfield,"Vivigani, Papua New Guinea"
VIX,SBVT,Eurico de Aguiar Salles Airport,"Vitória, Espírito Santo, Brazil"
VIY,LFPV,Vélizy – Villacoublay Air Base[1],"Paris, Île-de-France, France"
VJB,FQXA,Xai-Xai Airport,"Xai-Xai, Mozambique"
VJI,KVJI,Virginia Highlands Airport,"Abingdon, Virginia, United States"
VJQ,,Gurúé Airport[1],"Gurúè, Mozambique"
VKG,VVRG,Rach Gia Airport,"Rach Gia (Rạch Giá), Vietnam"
VKO,UUWW,Vnukovo International Airport,"Moscow, Russia"
VKS,KVKS,Vicksburg Municipal Airport,"Vicksburg, Mississippi, United States"
VKT,UUYW,Vorkuta Airport,"Vorkuta, Komi Republic, Russia"
VLA,KVLA,Vandalia Municipal Airport,"Vandalia, Illinois, United States"
VLC,LEVC,Valencia Airport,"Valencia, Valencian Community, Spain"
VLD,KVLD,Valdosta Regional Airport,"Valdosta, Georgia, United States"
VLE,,Valle Airport (FAA: 40G),"Grand Canyon, Arizona, United States"
VLG,SAZV,Villa Gesell Airport,"Villa Gesell, Buenos Aires, Argentina"
VLI,NVVV,Bauerfield International Airport,"Port Vila, Vanuatu"
VLK,URRY,Volgodonsk Airport[1],"Volgodonsk, Rostov Oblast, Russia"
VLL,LEVD,Valladolid Airport,"Valladolid, Castile and León, Spain"
VLM,SLVM,Lieutenant Colonel Rafael Pabón Airport[1],"Villamontes, Bolivia"
VLN,SVVA,Arturo Michelena International Airport,"Valencia, Venezuela"
VLP,,Vila Rica Municipal Airport[1],"Vila Rica, Mato Grosso, Brazil"
VLR,SCLL,Vallenar Airport[1],"Vallenar, Chile"
VLS,NVSV,Valesdir Airport[1],"Valesdir, Vanuatu"
VLU,ULOL,Velikiye Luki Airport,"Velikiye Luki, Pskov Oblast, Russia"
VLV,SVVL,Dr. Antonio Nicolás Briceño Airport,"Valera, Venezuela"
VLY,EGOV,Anglesey Airport / RAF Valley,"Anglesey, Wales, United Kingdom"
VME,SAOR,Villa Reynolds Airport,"Villa Mercedes, San Luis, Argentina"
VMI,,Dr. Juan Plate Airport[1],"Puerto Valle-Mi, Paraguay"
VMU,AYBA,Baimuru Airport,"Baimuru, Papua New Guinea"
VNA,VLSV,Salavan Airport[1],"Salavan (Saravane), Laos"
VNC,KVNC,Venice Municipal Airport,"Venice, Florida, United States"
VND,FMSU,Vangaindrano Airport[1],"Vangaindrano, Madagascar"
VNE,LFRV,Meucon Airport,"Vannes, Brittany, France"
VNO,EYVI,Vilnius Airport,"Vilnius, Lithuania"
VNR,YVRS,Vanrook Airport[1],"Vanrook Station, Queensland, Australia"
VNS,VEBN,Lal Bahadur Shastri Airport,"Varanasi, Uttar Pradesh, India"
VNT,EVVA,Ventspils International Airport,"Ventspils, Latvia"
VNX,FQVL,Vilankulo Airport,"Vilankulo, Mozambique"
VNY,KVNY,Van Nuys Airport,"Los Angeles, California, United States"
VOD,LKVO,Vodochody Airport,"Prague, Czech Republic"
VOG,URWW,Volgograd International Airport,"Volgograd, Volgograd Oblast, Russia"
VOH,FMNV,Vohemar Airport[1],"Vohemar (Vohimarina), Madagascar"
VOI,GLVA,Voinjama Airport (Tenebu Airport),"Voinjama, Liberia"
VOK,KVOK,Volk Field Air National Guard Base,"Camp Douglas, Wisconsin, United States"
VOL,LGBL,Nea Anchialos National Airport,"Volos, Greece"
VOT,SDVG,Votuporanga Airport[1] (Domingos Pignatari Airport),"Votuporanga, São Paulo, Brazil"
VOZ,UUOO,Voronezh International Airport (Chertovitskoye Airport),"Voronezh, Voronezh Oblast, Russia"
VPE,FNGI,Ondjiva Pereira Airport[1],"Ondjiva, Angola"
VPG,,Vipingo Airport[1],"Vipingo, Kenya"
VPN,BIVO,Vopnafjörður Airport,"Vopnafjörður, Iceland"
VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,"Destin / Fort Walton Beach, Florida, United States"
VPY,FQCH,Chimoio Airport,"Chimoio, Mozambique"
VPZ,KVPZ,Porter County Regional Airport,"Valparaiso, Indiana, United States"
VQQ,KVQQ,Cecil Airport[1],"Jacksonville, Florida, United States"
VQS,TJVQ,Antonio Rivera Rodríguez Airport,"Vieques, Puerto Rico, United States"
VRA,MUVR,Juan Gualberto Gómez Airport,"Varadero, Cuba"
VRB,KVRB,Vero Beach Regional Airport,"Vero Beach, Florida, United States"
VRC,RPUV,Virac Airport,"Virac, Philippines"
VRE,FAVR,Vredendal Airport[1],"Vredendal, South Africa"
VRI,ULDW,Varandey Airport,"Varandey, Nenets Autonomous Okrug, Russia"
VRK,EFVR,Varkaus Airport,"Varkaus, Finland"
VRL,LPVR,Vila Real Airport,"Vila Real, Portugal"
VRN,LIPX,Verona Villafranca Airport,"Verona, Veneto, Italy"
VRO,MUKW,Kawama Airport,"Varadero, Cuba"
VRS,,Roy Otten Memorial Airfield (FAA: 3VS),"Versailles, Missouri, United States"
VRU,FAVB,Vryburg Airport[1],"Vryburg, South Africa"
VSA,MMVA,Carlos Rovirosa Pérez International Airport,"Villahermosa, Tabasco, Mexico"
VSE,LPVZ,Viseu Airport[1],"Viseu, Portugal"
VSF,KVSF,Hartness State Airport,"Springfield, Vermont, United States"
VSG,UKCW,Luhansk International Airport,"Luhansk, Ukraine"
VST,ESOW,Stockholm Västerås Airport,"Stockholm / Västerås, Sweden"
VTB,UMII,Vitebsk Vostochny Airport[1],"Vitebsk, Belarus"
VTE,VLVT,Wattay International Airport,"Vientiane, Laos"
VTF,NFVL,Vatulele Airport[1],"Vatulele, Fiji"
VTG,VVVT,Vung Tau Airport,"Vung Tau (Vũng Tàu), Vietnam"
VTL,LFSZ,Vittel - Champ-de-Courses Airport[1],"Vittel, Lorraine, France"
VTM,LLNV,Nevatim Airbase[1],"Nevatim, Israel"
VTN,KVTN,Miller Field,"Valentine, Nebraska, United States"
VTU,MUVT,Hermanos Ameijeiras Airport[1],"Las Tunas, Cuba"
VTZ,VEVZ,Visakhapatnam Airport,"Visakhapatnam (Vishakhapatnam), Andhra Pradesh, India"
VUP,SKVP,Alfonso López Pumarejo Airport,"Valledupar, Colombia"
VUS,ULWU,Veliky Ustyug Airport,"Veliky Ustyug, Vologda Oblast, Russia"
VUU,,Mvuu Camp Airport[1],"Liwonde, Malawi"
VVB,FMMH,Mahanoro Airport[1],"Mahanoro, Madagascar"
VVC,SKVV,La Vanguardia Airport[1],"Villavicencio, Colombia"
VVI,SLVR,Viru Viru International Airport,"Santa Cruz de la Sierra, Bolivia"
VVK,ESSW,Västervik Airport[1],"Västervik, Sweden"
VVN,,Las Malvinas Airport[1],"Las Malvinas, Peru"
VVO,UHWW,Vladivostok International Airport,"Vladivostok, Primorsky Krai, Russia"
VVZ,DAAP,Takhamalt Airport,"Illizi, Algeria"
VXC,FQLC,Lichinga Airport,"Lichinga, Mozambique"
VXE,GVSV,Cesária Évora Airport (São Pedro Airport),"São Vicente, Cape Verde"
VXO,ESMX,Växjö/Kronoberg Airport,"Växjö, Sweden"
VYD,FAVY,Vryheid Airport,"Vryheid, South Africa"
VYI,UENW,Vilyuysk Airport,"Vilyuysk, Yakutia, Russia"
VYS,KVYS,Illinois Valley Regional Airport (Walter A. Duncan Field),"Peru, Illinois, United States"